Inflation	Expansion	Retention	Purity_r	Purity_b	Consistency_r	Consistency_b
1.1	2.0	0.29457364341085274	0.9804991755603304	0.7172210125457432	0.6936936936936937	0.49099099099099097
1.1	3.0	0.29457364341085274	0.9804991755603304	0.7472948293255621	0.6936936936936937	0.5225225225225225
1.1	4.0	0.29457364341085274	0.9804991755603304	0.7378460627921604	0.6936936936936937	0.5225225225225225
1.1	5.0	0.29457364341085274	0.9804991755603304	0.7111616009545659	0.6936936936936937	0.4954954954954955
1.2	2.0	0.29457364341085274	0.9804991755603304	0.7893826321963957	0.6936936936936937	0.509009009009009
1.2	3.0	0.29457364341085274	0.9804991755603304	0.725996451382848	0.6936936936936937	0.481981981981982
1.2	4.0	0.29457364341085274	0.9804991755603304	0.7421820640755755	0.6936936936936937	0.49099099099099097
1.2	5.0	0.29457364341085274	0.9804991755603304	0.7025053474826065	0.6936936936936937	0.49099099099099097
1.3	2.0	0.29457364341085274	0.9804991755603304	0.7214976609918317	0.6936936936936937	0.5
1.3	3.0	0.29457364341085274	0.9804991755603304	0.7206988589570551	0.6936936936936937	0.5
1.3	4.0	0.29457364341085274	0.9804991755603304	0.7094167794157844	0.6936936936936937	0.527027027027027
1.3	5.0	0.29457364341085274	0.9804991755603304	0.7317321792193873	0.6936936936936937	0.5
1.4	2.0	0.29457364341085274	0.9814465160030056	0.7696761171636932	0.6756756756756757	0.481981981981982
1.4	3.0	0.29457364341085274	0.9804991755603304	0.7313404867995699	0.6936936936936937	0.5315315315315315
1.4	4.0	0.29457364341085274	0.9804991755603304	0.755179679377173	0.6936936936936937	0.46846846846846846
1.4	5.0	0.29457364341085274	0.9804991755603304	0.6900020795906834	0.6936936936936937	0.481981981981982
1.5	2.0	0.29457364341085274	0.9814465160030056	0.7327816923398921	0.6756756756756757	0.4954954954954955
1.5	3.0	0.29457364341085274	0.9804991755603304	0.699135191360114	0.6936936936936937	0.509009009009009
1.5	4.0	0.29457364341085274	0.9804991755603304	0.7505658104928626	0.6936936936936937	0.5135135135135135
1.5	5.0	0.29457364341085274	0.9804991755603304	0.7330087982885504	0.6936936936936937	0.5180180180180181
1.6	2.0	0.29457364341085274	0.982704061995254	0.7031369690399778	0.5855855855855856	0.3918918918918919
1.6	3.0	0.29457364341085274	0.9814465160030056	0.794988454562875	0.6756756756756757	0.47297297297297297
1.6	4.0	0.29457364341085274	0.9804991755603304	0.7184448996506432	0.6936936936936937	0.47297297297297297
1.6	5.0	0.29457364341085274	0.9804991755603304	0.7308108965378355	0.6936936936936937	0.47297297297297297
1.7	2.0	0.29457364341085274	0.9835211405154582	0.7332399162605918	0.5630630630630631	0.36936936936936937
1.7	3.0	0.29457364341085274	0.9814465160030056	0.726395593021823	0.6756756756756757	0.49099099099099097
1.7	4.0	0.29457364341085274	0.9804991755603304	0.7394978439058528	0.6936936936936937	0.49099099099099097
1.7	5.0	0.29457364341085274	0.9804991755603304	0.7280333040432944	0.6936936936936937	0.5180180180180181
1.8	2.0	0.29457364341085274	0.9837317402643516	0.7434581686760358	0.5630630630630631	0.4009009009009009
1.8	3.0	0.29457364341085274	0.9814465160030056	0.7181613787330593	0.6756756756756757	0.5
1.8	4.0	0.29457364341085274	0.9804991755603304	0.7354066494727562	0.6936936936936937	0.4954954954954955
1.8	5.0	0.29457364341085274	0.9804991755603304	0.7582549651295273	0.6936936936936937	0.47297297297297297
1.9	2.0	0.29457364341085274	0.9838164191753597	0.7421214198066012	0.5630630630630631	0.40540540540540543
1.9	3.0	0.29457364341085274	0.9814465160030056	0.7096259357654172	0.6756756756756757	0.49099099099099097
1.9	4.0	0.29457364341085274	0.9814465160030056	0.6938508448768324	0.6756756756756757	0.4954954954954955
1.9	5.0	0.29457364341085274	0.9804991755603304	0.7759026509044101	0.6936936936936937	0.4954954954954955
2.0	2.0	0.29457364341085274	0.9839457728726732	0.6946540501234317	0.5630630630630631	0.3963963963963964
2.0	3.0	0.29457364341085274	0.9814465160030056	0.7140757442654347	0.6756756756756757	0.4954954954954955
2.0	4.0	0.29457364341085274	0.9814465160030056	0.7923865062028851	0.6756756756756757	0.4864864864864865
2.0	5.0	0.29457364341085274	0.9804991755603304	0.72201970860586	0.6936936936936937	0.4864864864864865
2.1	2.0	0.29457364341085274	0.9839457728726732	0.7344971496746693	0.5630630630630631	0.3783783783783784
2.1	3.0	0.29457364341085274	0.9814465160030056	0.7396774474233502	0.6756756756756757	0.481981981981982
2.1	4.0	0.29457364341085274	0.9814465160030056	0.7400620644276132	0.6756756756756757	0.481981981981982
2.1	5.0	0.29457364341085274	0.9814465160030056	0.7003656824320753	0.6756756756756757	0.481981981981982
2.2	2.0	0.29457364341085274	0.9845391623847126	0.7511421399546556	0.509009009009009	0.36936936936936937
2.2	3.0	0.29457364341085274	0.9822866012161298	0.7042614649301274	0.6531531531531531	0.45495495495495497
2.2	4.0	0.29457364341085274	0.9814465160030056	0.7611813983628296	0.6756756756756757	0.4864864864864865
2.2	5.0	0.29457364341085274	0.9814465160030056	0.7342810338974244	0.6756756756756757	0.4594594594594595
2.3	2.0	0.29457364341085274	0.9847246917262589	0.7319064136351158	0.509009009009009	0.34684684684684686
2.3	3.0	0.29457364341085274	0.9824790311265376	0.7745168820008241	0.6486486486486487	0.46396396396396394
2.3	4.0	0.29457364341085274	0.9814465160030056	0.7687906792764334	0.6756756756756757	0.47297297297297297
2.3	5.0	0.29457364341085274	0.9814465160030056	0.7573527307082188	0.6756756756756757	0.4774774774774775
2.4	2.0	0.29457364341085274	0.9847246917262589	0.7099637271302945	0.509009009009009	0.36036036036036034
2.4	3.0	0.29457364341085274	0.982704061995254	0.7268494105081053	0.5855855855855856	0.4144144144144144
2.4	4.0	0.29457364341085274	0.9814465160030056	0.7130661938860117	0.6756756756756757	0.45045045045045046
2.4	5.0	0.29457364341085274	0.9814465160030056	0.75375251650436	0.6756756756756757	0.4774774774774775
2.5	2.0	0.29457364341085274	0.9847246917262589	0.756976974012296	0.509009009009009	0.36036036036036034
2.5	3.0	0.29457364341085274	0.982704061995254	0.7362207898256933	0.5855855855855856	0.4144144144144144
2.5	4.0	0.29457364341085274	0.9814465160030056	0.6933102260960199	0.6756756756756757	0.5045045045045045
2.5	5.0	0.29457364341085274	0.9814465160030056	0.75645434185489	0.6756756756756757	0.5
2.6	2.0	0.29457364341085274	0.9847246917262589	0.7656320080730022	0.509009009009009	0.36486486486486486
2.6	3.0	0.29457364341085274	0.982704061995254	0.6887392546573119	0.5855855855855856	0.4144144144144144
2.6	4.0	0.29457364341085274	0.9814465160030056	0.747911406881447	0.6756756756756757	0.481981981981982
2.6	5.0	0.29457364341085274	0.9814465160030056	0.6968061923949951	0.6756756756756757	0.47297297297297297
2.7	2.0	0.29457364341085274	0.9847246917262589	0.7602287761889608	0.509009009009009	0.35135135135135137
2.7	3.0	0.29457364341085274	0.9828372464439488	0.726537520514803	0.5720720720720721	0.4189189189189189
2.7	4.0	0.29457364341085274	0.9814465160030056	0.7874235972920975	0.6756756756756757	0.47297297297297297
2.7	5.0	0.29457364341085274	0.9814465160030056	0.7683052590126678	0.6756756756756757	0.4774774774774775
2.8	2.0	0.29457364341085274	0.9847246917262589	0.8064170162653489	0.509009009009009	0.35135135135135137
2.8	3.0	0.29457364341085274	0.9828453267310918	0.7518537899152951	0.5630630630630631	0.3918918918918919
2.8	4.0	0.29457364341085274	0.9814465160030056	0.7602673540596031	0.6756756756756757	0.45045045045045046
2.8	5.0	0.29457364341085274	0.9814465160030056	0.7554644012320797	0.6756756756756757	0.509009009009009
2.9	2.0	0.29457364341085274	0.9847246917262589	0.7268060564698108	0.509009009009009	0.35585585585585583
2.9	3.0	0.29457364341085274	0.9834215238639156	0.7112904129303101	0.5630630630630631	0.4009009009009009
2.9	4.0	0.29457364341085274	0.9814465160030056	0.7459627434819168	0.6756756756756757	0.4774774774774775
2.9	5.0	0.29457364341085274	0.9814465160030056	0.6870607736285543	0.6756756756756757	0.481981981981982
3.0	2.0	0.29457364341085274	0.9847246917262589	0.7276187267570409	0.509009009009009	0.36936936936936937
3.0	3.0	0.29457364341085274	0.9835211405154582	0.7319301245144441	0.5630630630630631	0.42792792792792794
3.0	4.0	0.29457364341085274	0.9814465160030056	0.719576660526911	0.6756756756756757	0.481981981981982
3.0	5.0	0.29457364341085274	0.9814465160030056	0.7274020223097883	0.6756756756756757	0.47297297297297297
