avg_cluster_size	purity	t	combo
5	0.6260341010603178	3.8533859252929688	ba + he + hy
10	0.5968268147745368	3.5425446033477783	ba + he + hy
15	0.5841263059773955	2.923255443572998	ba + he + hy
20	0.5789023963956966	2.1042444705963135	ba + he + hy
25	0.5738726841962171	2.4587502479553223	ba + he + hy
30	0.5728240183322328	1.9512677192687988	ba + he + hy
35	0.5693284654522857	2.0655574798583984	ba + he + hy
40	0.5690371693789568	1.877929925918579	ba + he + hy
45	0.5653085796403464	1.8399958610534668	ba + he + hy
50	0.5614828912106264	1.8916122913360596	ba + he + hy
55	0.5607837806346371	1.965663194656372	ba + he + hy
60	0.5596185963413213	1.7220206260681152	ba + he + hy
65	0.5576572027809065	1.924536943435669	ba + he + hy
70	0.5563560803200372	1.6610026359558105	ba + he + hy
75	0.5541033906862936	1.6866264343261719	ba + he + hy
80	0.5528216879636463	1.7527062892913818	ba + he + hy
85	0.5515788247174428	1.6257944107055664	ba + he + hy
90	0.549345554821921	1.711073637008667	ba + he + hy
95	0.5489959995339263	1.9858691692352295	ba + he + hy
100	0.5473647415232843	1.6015801429748535	ba + he + hy
105	0.5447819163397677	2.0757129192352295	ba + he + hy
110	0.5440828057637783	1.6466765403747559	ba + he + hy
115	0.5423932885384705	1.5819520950317383	ba + he + hy
120	0.5416941779624811	1.7824089527130127	ba + he + hy
125	0.5432477570202354	1.8667614459991455	ba + he + hy
130	0.5421019924651416	1.7094147205352783	ba + he + hy
135	0.5415970792713715	1.6319849491119385	ba + he + hy
140	0.5411115858158232	1.756709337234497	ba + he + hy
145	0.5401794383811707	1.9535307884216309	ba + he + hy
150	0.5396745251874004	1.6139178276062012	ba + he + hy
155	0.5393055501611839	1.7978808879852295	ba + he + hy
160	0.5388200567056356	1.8974025249481201	ba + he + hy
165	0.5292849652386686	1.6374623775482178	ba + he + hy
170	0.5287412125684546	1.6411664485931396	ba + he + hy
175	0.5287217928302327	1.8441414833068848	ba + he + hy
180	0.5277702256573581	1.6224617958068848	ba + he + hy
185	0.5277702256573581	1.6096186637878418	ba + he + hy
190	0.527265312463588	1.8290069103240967	ba + he + hy
195	0.5270711150813687	1.5774481296539307	ba + he + hy
5	0.6284421485998368	6.032880067825317	z
10	0.5993708004816095	4.285120964050293	z
15	0.5869033285431312	3.249643325805664	z
20	0.5811356662912184	3.090528726577759	z
25	0.577154619955723	2.621488571166992	z
30	0.5759117567095196	2.5639429092407227	z
35	0.571406377442032	2.2917704582214355	z
40	0.5713675379655883	2.3729333877563477	z
45	0.5693673049287296	2.012859344482422	z
50	0.567347652153649	2.0873804092407227	z
55	0.565405678331456	2.3944754600524902	z
60	0.5626092360274983	1.9178409576416016	z
65	0.5614052122577388	2.359769821166992	z
70	0.560259447702645	1.7580409049987793	z
75	0.5609973977550783	1.7802200317382812	z
80	0.5596185963413213	2.016683340072632	z
85	0.557812560686682	1.7658281326293945	z
90	0.5567444750844759	1.8673462867736816	z
95	0.556433759272925	1.7587790489196777	z
100	0.5560842039849303	1.761476993560791	z
105	0.5540257117334059	1.8707425594329834	z
110	0.5531324037751971	1.6941800117492676	z
115	0.5507826154503437	1.7615103721618652	z
120	0.5506660970210121	2.0921778678894043	z
125	0.5496562706334719	1.9792993068695068	z
130	0.5495591719423623	1.7143747806549072	z
135	0.5475589389055036	1.837287425994873	z
140	0.5520254786965472	1.967803955078125	z
145	0.5516370839321086	1.6565656661987305	z
150	0.5508797141414534	1.8176438808441162	z
155	0.5475977783819475	1.9063289165496826	z
160	0.5432283372820135	1.845733642578125	z
165	0.54359731230823	1.9388322830200195	z
170	0.5438109294286713	1.7267036437988281	z
175	0.5426069056589117	1.7667617797851562	z
180	0.5434807938788985	1.6367478370666504	z
185	0.5427234240882433	1.6622042655944824	z
190	0.5428982017322407	1.6615145206451416	z
195	0.5320814075426263	1.743004560470581	z
5	0.6302870237309202	27.926779985427856	pI + z
10	0.6008272808482542	24.185804843902588	pI + z
15	0.5893890550355381	23.423157930374146	pI + z
20	0.5817376781760982	23.5182044506073	pI + z
25	0.5778537305317124	22.61620831489563	pI + z
30	0.5750572882277547	22.775186777114868	pI + z
35	0.5722802656620188	22.78819704055786	pI + z
40	0.5709014642482619	22.8419291973114	pI + z
45	0.5679108245620849	22.969677925109863	pI + z
50	0.5634637045092632	22.73564839363098	pI + z
55	0.5622402610012817	22.337175130844116	pI + z
60	0.5620460636190624	22.149030447006226	pI + z
65	0.5617936070221773	22.498472213745117	pI + z
70	0.5612304346137414	22.37260103225708	pI + z
75	0.5602400279644231	22.389679193496704	pI + z
80	0.5598322134617625	21.998855352401733	pI + z
85	0.5596574358177652	22.626999616622925	pI + z
90	0.55890006602711	22.411742210388184	pI + z
95	0.5574630053986872	22.471156120300293	pI + z
100	0.5560842039849303	22.795270681381226	pI + z
105	0.5562784013671496	22.436537265777588	pI + z
110	0.5529187866547559	22.80335259437561	pI + z
115	0.5525692313667612	22.017309188842773	pI + z
120	0.5518701207907717	22.551544904708862	pI + z
125	0.5524721326756515	22.372316122055054	pI + z
130	0.5527634287489804	22.472415447235107	pI + z
135	0.5505301588534587	21.984966039657593	pI + z
140	0.5513069483823358	22.380930423736572	pI + z
145	0.5501029246125763	22.78616452217102	pI + z
150	0.5483357284343807	22.30994939804077	pI + z
155	0.5466656309472948	22.189924001693726	pI + z
160	0.5457529032508642	22.36523151397705	pI + z
165	0.546083038800637	22.013808965682983	pI + z
170	0.5458888414184176	22.09456968307495	pI + z
175	0.5460636190624151	21.811418294906616	pI + z
180	0.5429176214704626	22.057743549346924	pI + z
185	0.5426651648735775	22.072734355926514	pI + z
190	0.5419466345593661	21.901296615600586	pI + z
195	0.542509806967802	22.605210781097412	pI + z
5	0.6293548762962675	7.148991346359253	ms + z
10	0.5992542820522779	4.8955113887786865	ms + z
15	0.588612265506661	3.518392324447632	ms + z
20	0.5825144677049754	3.532698392868042	ms + z
25	0.5786111003223676	2.850856065750122	ms + z
30	0.5755816211597468	2.9774677753448486	ms + z
35	0.5723579446149066	2.646296977996826	ms + z
40	0.5720666485415776	2.890354871749878	ms + z
45	0.5685905153998524	2.512671709060669	ms + z
50	0.5656387151901192	2.419900894165039	ms + z
55	0.5632306676506	2.4138810634613037	ms + z
60	0.5617741872839555	2.259505271911621	ms + z
65	0.5596185963413213	2.4517550468444824	ms + z
70	0.5608808793257467	2.262510061264038	ms + z
75	0.5605895832524178	2.5101377964019775	ms + z
80	0.559171942362217	2.4302825927734375	ms + z
85	0.5579873383306793	2.4815938472747803	ms + z
90	0.5583951528333398	2.4572579860687256	ms + z
95	0.5563949197964811	2.3653085231781006	ms + z
100	0.5559288460791548	2.2936999797821045	ms + z
105	0.5559288460791548	2.389069080352783	ms + z
110	0.5515399852409989	2.6037116050720215	ms + z
115	0.5530158853458655	2.1237502098083496	ms + z
120	0.5535984774925234	2.5011627674102783	ms + z
125	0.5529576261311997	2.562546730041504	ms + z
130	0.5520060589583252	2.3954787254333496	ms + z
135	0.5506272575445683	2.3644471168518066	ms + z
140	0.5509962325707849	2.2507588863372803	ms + z
145	0.5512098496912262	2.134404182434082	ms + z
150	0.5494038140365868	2.0773603916168213	ms + z
155	0.5467238901619607	2.1273105144500732	ms + z
160	0.5447430768633239	2.398952007293701	ms + z
165	0.5453450887482036	2.3179750442504883	ms + z
170	0.5451314716277624	2.3031516075134277	ms + z
175	0.5457723229890861	2.3242359161376953	ms + z
180	0.5461801374917467	2.150056838989258	ms + z
185	0.5459665203713054	2.0851972103118896	ms + z
190	0.5459859401095273	2.1353485584259033	ms + z
195	0.5326445799510623	2.0704545974731445	ms + z
5	0.6294131355109334	8.579896450042725	ba + he + z
10	0.5992542820522779	5.1886351108551025	ba + he + z
15	0.588612265506661	4.346855640411377	ba + he + z
20	0.5827280848254166	4.07886004447937	ba + he + z
25	0.5775235949819396	3.3627195358276367	ba + he + z
30	0.5741834000077679	3.306884765625	ba + he + z
35	0.5710568221540374	3.2042739391326904	ba + he + z
40	0.5695809220491708	3.4250173568725586	ba + he + z
45	0.5678719850856411	3.139838218688965	ba + he + z
50	0.5666873810541034	3.324496269226074	ba + he + z
55	0.5641822348234746	2.8287665843963623	ba + he + z
60	0.5637550005825921	2.7792603969573975	ba + he + z
65	0.5627257544568299	2.7830371856689453	ba + he + z
70	0.5604536450848643	3.044410228729248	ba + he + z
75	0.5614052122577388	3.077591896057129	ba + he + z
80	0.5599487318910941	2.788222551345825	ba + he + z
85	0.5586087699537811	2.6427202224731445	ba + he + z
90	0.5577154619955723	2.915543794631958	ba + he + z
95	0.5573853264457995	2.8739547729492188	ba + he + z
100	0.555890006602711	2.9233734607696533	ba + he + z
105	0.5559288460791548	3.0164577960968018	ba + he + z
110	0.5542004893774032	2.7532594203948975	ba + he + z
115	0.5533654406338603	2.63912296295166	ba + he + z
120	0.5514428865498893	2.726877450942993	ba + he + z
125	0.5541228104245155	2.671260118484497	ba + he + z
130	0.5518895405289936	2.733562469482422	ba + he + z
135	0.5499087272303569	3.2547264099121094	ba + he + z
140	0.5523944537227639	2.651482343673706	ba + he + z
145	0.5533654406338603	2.97843861579895	ba + he + z
150	0.5524138734609857	2.541872978210449	ba + he + z
155	0.5476560375966132	2.6631884574890137	ba + he + z
160	0.5482192100050491	2.6348354816436768	ba + he + z
165	0.5482386297432711	2.624021053314209	ba + he + z
170	0.5455781256068668	2.879150629043579	ba + he + z
175	0.5459276808948615	2.6154160499572754	ba + he + z
180	0.5424321280149144	2.6971402168273926	ba + he + z
185	0.5415582397949276	2.821798801422119	ba + he + z
190	0.5420825727269196	2.719465970993042	ba + he + z
195	0.532159086495514	2.489769220352173	ba + he + z
5	0.6281702722647299	9.212844133377075	ba + he + hy + z
10	0.5990212451936148	6.191126108169556	ba + he + hy + z
15	0.5881850312657786	5.168904781341553	ba + he + hy + z
20	0.5821843321552026	4.744080305099487	ba + he + hy + z
25	0.5770575212646134	4.7372846603393555	ba + he + hy + z
30	0.5753291645628617	3.748556137084961	ba + he + hy + z
35	0.5715228958713636	3.8074352741241455	ba + he + hy + z
40	0.5700081562900532	3.476461172103882	ba + he + hy + z
45	0.5670951955567639	3.7543082237243652	ba + he + hy + z
50	0.5653474191167903	3.8541791439056396	ba + he + hy + z
55	0.5629976307919369	3.5539956092834473	ba + he + hy + z
60	0.5619489649279528	3.220780849456787	ba + he + hy + z
65	0.5614828912106264	3.5157413482666016	ba + he + hy + z
70	0.5598710529382064	3.201747417449951	ba + he + hy + z
75	0.5602011884879792	3.5034165382385254	ba + he + hy + z
80	0.5585310910008933	3.6052048206329346	ba + he + hy + z
85	0.5576766225191284	3.3199095726013184	ba + he + hy + z
90	0.557521264613353	3.53033185005188	ba + he + hy + z
95	0.5562201421524838	3.184617757797241	ba + he + hy + z
100	0.555890006602711	3.4730703830718994	ba + he + hy + z
105	0.5547830815240611	3.40437388420105	ba + he + hy + z
110	0.5535013788014137	3.380962371826172	ba + he + hy + z
115	0.5526857497960928	3.1300928592681885	ba + he + hy + z
120	0.5519089602672156	3.041053295135498	ba + he + hy + z
125	0.5516759234085524	3.446211099624634	ba + he + hy + z
130	0.5513457878587796	3.2771666049957275	ba + he + hy + z
135	0.5490348390103701	3.013519287109375	ba + he + hy + z
140	0.5502388627801297	3.52886962890625	ba + he + hy + z
145	0.5533071814191944	3.3264033794403076	ba + he + hy + z
150	0.5499281469685788	2.948342800140381	ba + he + hy + z
155	0.5490154192721483	3.274893283843994	ba + he + hy + z
160	0.5479084941934983	3.404684543609619	ba + he + hy + z
165	0.5456558045597545	3.0250988006591797	ba + he + hy + z
170	0.5459665203713054	3.0586328506469727	ba + he + hy + z
175	0.5440828057637783	3.2625012397766113	ba + he + hy + z
180	0.54359731230823	3.315840482711792	ba + he + hy + z
185	0.5434419544024547	3.0128679275512695	ba + he + hy + z
190	0.5405484134073872	3.2027435302734375	ba + he + hy + z
195	0.5319648891132948	2.9975390434265137	ba + he + hy + z
5	0.629510234202043	6.881767988204956	ba + he + hy + ms
10	0.59867168990562	4.597489833831787	ba + he + hy + ms
15	0.5873888219986795	3.987436056137085	ba + he + hy + ms
20	0.5810968268147746	3.7712297439575195	ba + he + hy + ms
25	0.5784169029401484	2.9456052780151367	ba + he + hy + ms
30	0.5749213500602012	2.8378748893737793	ba + he + hy + ms
35	0.57249388278246	2.799252510070801	ba + he + hy + ms
40	0.5710374024158155	2.6858150959014893	ba + he + hy + ms
45	0.5684739969705208	2.8226187229156494	ba + he + hy + ms
50	0.5660659494310016	2.959815740585327	ba + he + hy + ms
55	0.5631335689594904	2.4166927337646484	ba + he + hy + ms
60	0.5615799899017361	2.5553619861602783	ba + he + hy + ms
65	0.5593273002679924	2.5201568603515625	ba + he + hy + ms
70	0.5576377830426846	2.5468220710754395	ba + he + hy + ms
75	0.5573853264457995	2.570812702178955	ba + he + hy + ms
80	0.5569969316813609	2.7355265617370605	ba + he + hy + ms
85	0.5543170078067348	2.364651918411255	ba + he + hy + ms
90	0.5535013788014137	2.506787061691284	ba + he + hy + ms
95	0.5517341826232183	2.2250943183898926	ba + he + hy + ms
100	0.5497339495863596	2.2773454189300537	ba + he + hy + ms
105	0.5494426535130307	2.393162727355957	ba + he + hy + ms
110	0.5489571600574824	2.376899242401123	ba + he + hy + ms
115	0.5492290363925895	2.051382541656494	ba + he + hy + ms
120	0.5478890744552763	2.0539939403533936	ba + he + hy + ms
125	0.5465491125179632	2.0636160373687744	ba + he + hy + ms
130	0.5475589389055036	2.0134787559509277	ba + he + hy + ms
135	0.5461024585388589	2.1026840209960938	ba + he + hy + ms
140	0.5436749912611178	2.141601085662842	ba + he + hy + ms
145	0.5433642754495669	2.146543502807617	ba + he + hy + ms
150	0.542529226706024	2.4157934188842773	ba + he + hy + ms
155	0.5403736357633899	2.3554489612579346	ba + he + hy + ms
160	0.5402182778576144	2.2460882663726807	ba + he + hy + ms
165	0.5413057831980425	2.0290002822875977	ba + he + hy + ms
170	0.5418883753447004	2.2086682319641113	ba + he + hy + ms
175	0.5420825727269196	2.165848731994629	ba + he + hy + ms
180	0.5379850079620927	2.4141502380371094	ba + he + hy + ms
185	0.5379073290092049	2.324509859085083	ba + he + hy + ms
190	0.5383928224647532	2.0632829666137695	ba + he + hy + ms
195	0.5376742921505419	2.0496878623962402	ba + he + hy + ms
5	0.6291606789140483	10.161757946014404	ba + he + ms + z
10	0.5998757136753796	6.431795358657837	ba + he + ms + z
15	0.5895249932030916	4.97577428817749	ba + he + ms + z
20	0.5828251835165262	4.6916115283966064	ba + he + ms + z
25	0.5784557424165923	4.103826999664307	ba + he + ms + z
30	0.5762224725210704	4.14959192276001	ba + he + ms + z
35	0.5727657591175671	3.8684122562408447	ba + he + ms + z
40	0.5721637472326873	3.9659245014190674	ba + he + ms + z
45	0.5694061444051735	4.015459060668945	ba + he + ms + z
50	0.5667844797452131	3.6455116271972656	ba + he + ms + z
55	0.5633860255563755	3.7500078678131104	ba + he + ms + z
60	0.565153221734571	3.8556997776031494	ba + he + ms + z
65	0.5628616926243835	3.3550519943237305	ba + he + ms + z
70	0.5617159280692896	3.7550721168518066	ba + he + ms + z
75	0.5614052122577388	3.7372615337371826	ba + he + ms + z
80	0.5603371266555327	3.247600793838501	ba + he + ms + z
85	0.5582592146657863	3.2185728549957275	ba + he + ms + z
90	0.5582980541422302	3.2452664375305176	ba + he + ms + z
95	0.556705635608032	3.1499972343444824	ba + he + ms + z
100	0.5572105488018021	3.15168833732605	ba + he + ms + z
105	0.5557929079116013	3.894090414047241	ba + he + ms + z
110	0.556161882937818	3.143075466156006	ba + he + ms + z
115	0.5527828484872024	3.27846360206604	ba + he + ms + z
120	0.5552685749796092	3.172416925430298	ba + he + ms + z
125	0.5545888841418418	3.1608798503875732	ba + he + ms + z
130	0.55396745251874	3.288818120956421	ba + he + ms + z
135	0.5530158853458655	2.982856035232544	ba + he + ms + z
140	0.5524332931992076	3.1229565143585205	ba + he + ms + z
145	0.549598011418806	3.0948307514190674	ba + he + ms + z
150	0.5512098496912262	3.024771213531494	ba + he + ms + z
155	0.5473453217850623	3.081970691680908	ba + he + ms + z
160	0.5484328271254904	3.079653024673462	ba + he + ms + z
165	0.5487823824134851	3.0620338916778564	ba + he + ms + z
170	0.5484328271254904	3.240438938140869	ba + he + ms + z
175	0.5468404085912922	3.2257158756256104	ba + he + ms + z
180	0.5465685322561852	2.965057373046875	ba + he + ms + z
185	0.5463160756593001	3.2708191871643066	ba + he + ms + z
190	0.5406066726220531	3.340754985809326	ba + he + ms + z
195	0.5322561851866237	3.27968430519104	ba + he + ms + z
5	0.6296850118460403	30.188482522964478	ba + he + ms + pI + z
10	0.5993708004816095	27.448625326156616	ba + he + ms + pI + z
15	0.5905348195906319	26.053532361984253	ba + he + ms + pI + z
20	0.5836602322600691	26.430286169052124	ba + he + ms + pI + z
25	0.5777177923641589	26.10288143157959	ba + he + ms + pI + z
30	0.5755622014215248	25.20927858352661	ba + he + ms + pI + z
35	0.5724550433060163	24.10434651374817	ba + he + ms + pI + z
40	0.5707655260807084	24.405726194381714	ba + he + ms + pI + z
45	0.5689594904260691	23.82679796218872	ba + he + ms + pI + z
50	0.5666097021012156	24.365087270736694	ba + he + ms + pI + z
55	0.5626674952421641	24.903504371643066	ba + he + ms + pI + z
60	0.5630364702683808	24.349791765213013	ba + he + ms + pI + z
65	0.5618712859750651	24.823657035827637	ba + he + ms + pI + z
70	0.5619683846661747	23.789971828460693	ba + he + ms + pI + z
75	0.5603953858701984	24.142274379730225	ba + he + ms + pI + z
80	0.55890006602711	23.785200595855713	ba + he + ms + pI + z
85	0.5584339923097836	24.25800848007202	ba + he + ms + pI + z
90	0.5574824251369092	24.042391538619995	ba + he + ms + pI + z
95	0.5570746106342487	24.15936303138733	ba + he + ms + pI + z
100	0.5573076474929118	23.826849937438965	ba + he + ms + pI + z
105	0.5566085369169224	23.17622137069702	ba + he + ms + pI + z
110	0.553986872256962	24.597596168518066	ba + he + ms + pI + z
115	0.5528411077018682	23.696144580841064	ba + he + ms + pI + z
120	0.5524332931992076	23.836040019989014	ba + he + ms + pI + z
125	0.55235561424632	24.158634901046753	ba + he + ms + pI + z
130	0.550724356235678	23.8877170085907	ba + he + ms + pI + z
135	0.5502582825183516	23.907442092895508	ba + he + ms + pI + z
140	0.549617431157028	23.096771240234375	ba + he + ms + pI + z
145	0.5494232337748087	23.870128870010376	ba + he + ms + pI + z
150	0.549889307492135	24.013256549835205	ba + he + ms + pI + z
155	0.5462383967064124	23.83652949333191	ba + he + ms + pI + z
160	0.5452285703188721	23.224637985229492	ba + he + ms + pI + z
165	0.5441993241931099	24.514480352401733	ba + he + ms + pI + z
170	0.5440828057637783	23.529002904891968	ba + he + ms + pI + z
175	0.5441993241931099	24.480642080307007	ba + he + ms + pI + z
180	0.5410921660776012	24.04076313972473	ba + he + ms + pI + z
185	0.5406455120984969	23.512211322784424	ba + he + ms + pI + z
190	0.5394803278051812	23.577989101409912	ba + he + ms + pI + z
195	0.5421990911562512	23.88179087638855	ba + he + ms + pI + z
205	0.5248961044005127	1.4956703186035156	ba + he + hy
210	0.5235173029867557	1.4163181781768799	ba + he + hy
215	0.5240804753951916	1.3903932571411133	ba + he + hy
220	0.5220219831436672	1.485954761505127	ba + he + hy
225	0.5222938594787743	1.5978538990020752	ba + he + hy
230	0.5224686371227716	1.7097852230072021	ba + he + hy
235	0.5227405134578786	1.4567420482635498	ba + he + hy
240	0.5178855789023964	1.5031187534332275	ba + he + hy
245	0.5176525420437332	1.4838335514068604	ba + he + hy
250	0.5164485182739736	1.6302015781402588	ba + he + hy
255	0.5183516526197227	1.4430673122406006	ba + he + hy
260	0.5248572649240688	1.4550771713256836	ba + he + hy
265	0.5175748630908455	1.4553298950195312	ba + he + hy
270	0.5289936691653396	1.4696097373962402	ba + he + hy
275	0.5289548296888958	1.4288039207458496	ba + he + hy
280	0.5233425253427584	1.4282679557800293	ba + he + hy
285	0.5173029867557385	1.4417128562927246	ba + he + hy
290	0.5135938167553501	1.676147699356079	ba + he + hy
295	0.5202936264419156	1.4325199127197266	ba + he + hy
300	0.5056899832990251	1.5371978282928467	ba + he + hy
305	0.5166038761797491	1.4468286037445068	ba + he + hy
310	0.5182545539286131	1.4356603622436523	ba + he + hy
315	0.5166232959179711	1.4372048377990723	ba + he + hy
320	0.512525731153144	1.4380662441253662	ba + he + hy
325	0.512545150891366	1.4399726390838623	ba + he + hy
330	0.5124868916767003	1.4648139476776123	ba + he + hy
335	0.5144094457606712	1.4601686000823975	ba + he + hy
340	0.5182545539286131	1.46059250831604	ba + he + hy
345	0.5203713053948033	1.4455130100250244	ba + he + hy
350	0.5101953625665127	1.4149580001831055	ba + he + hy
355	0.5111275100011652	1.4146981239318848	ba + he + hy
360	0.5144094457606712	1.4099290370941162	ba + he + hy
365	0.5091078572260845	1.4374630451202393	ba + he + hy
370	0.5066221307336777	1.6202113628387451	ba + he + hy
375	0.5073018215714452	1.4078302383422852	ba + he + hy
380	0.5046801569114848	1.4414730072021484	ba + he + hy
385	0.5173029867557385	1.467944622039795	ba + he + hy
390	0.5077484755505496	1.4714131355285645	ba + he + hy
395	0.5123509535091467	1.5058605670928955	ba + he + hy
400	0.5111080902629432	1.530778169631958	ba + he + hy
405	0.5148560997397755	1.469285011291504	ba + he + hy
410	0.5164679380121956	1.391956090927124	ba + he + hy
415	0.503262516021284	1.3951292037963867	ba + he + hy
420	0.503262516021284	1.4644203186035156	ba + he + hy
425	0.5086029440323144	1.450230360031128	ba + he + hy
430	0.5145842234046685	1.4216551780700684	ba + he + hy
435	0.5083699071736513	1.3973515033721924	ba + he + hy
440	0.5065638715190119	1.3993799686431885	ba + he + hy
445	0.5065638715190119	1.4140729904174805	ba + he + hy
450	0.49963102497378337	1.6277449131011963	ba + he + hy
455	0.5122150153415932	1.4081873893737793	ba + he + hy
460	0.5122150153415932	1.4300143718719482	ba + he + hy
465	0.5091466967025284	1.4958791732788086	ba + he + hy
470	0.5063114149221268	1.6517972946166992	ba + he + hy
475	0.5063114149221268	1.4562699794769287	ba + he + hy
480	0.5009515671728745	1.472569465637207	ba + he + hy
485	0.5050879714141453	1.4374463558197021	ba + he + hy
490	0.5050879714141453	1.4222631454467773	ba + he + hy
495	0.505981279372354	1.532439947128296	ba + he + hy
500	0.505981279372354	1.3649249076843262	ba + he + hy
505	0.5063308346603488	1.3729112148284912	ba + he + hy
510	0.5063308346603488	1.37083101272583	ba + he + hy
515	0.5095739309434109	1.4543373584747314	ba + he + hy
520	0.5024468870159631	1.4486885070800781	ba + he + hy
525	0.5024468870159631	1.484720230102539	ba + he + hy
530	0.5099817454460713	1.3690683841705322	ba + he + hy
535	0.5099817454460713	1.3679535388946533	ba + he + hy
540	0.5048549345554821	1.3759591579437256	ba + he + hy
545	0.5048549345554821	1.4376111030578613	ba + he + hy
550	0.5031848370683963	1.4370136260986328	ba + he + hy
555	0.5031848370683963	1.4013054370880127	ba + he + hy
560	0.5031848370683963	1.3860769271850586	ba + he + hy
565	0.5067774886394532	1.4179661273956299	ba + he + hy
570	0.5067774886394532	1.4017391204833984	ba + he + hy
575	0.5045636384821532	1.434450387954712	ba + he + hy
580	0.5045636384821532	1.488931655883789	ba + he + hy
585	0.5045830582203752	1.368546485900879	ba + he + hy
590	0.5045830582203752	1.3690016269683838	ba + he + hy
595	0.5045830582203752	1.3869426250457764	ba + he + hy
600	0.5066609702101216	1.5992512702941895	ba + he + hy
605	0.5066609702101216	1.361722707748413	ba + he + hy
610	0.49881539596846236	1.3721559047698975	ba + he + hy
615	0.49881539596846236	1.3654992580413818	ba + he + hy
620	0.49881539596846236	1.372223138809204	ba + he + hy
625	0.5026022449217384	1.3578295707702637	ba + he + hy
630	0.5026022449217384	1.3740880489349365	ba + he + hy
635	0.5026022449217384	1.3691470623016357	ba + he + hy
640	0.5018448751310832	1.3799211978912354	ba + he + hy
645	0.5018448751310832	1.380617380142212	ba + he + hy
650	0.49153299413523904	1.3747220039367676	ba + he + hy
655	0.49153299413523904	1.3747377395629883	ba + he + hy
660	0.49153299413523904	1.37441086769104	ba + he + hy
665	0.5013593816755351	1.372054100036621	ba + he + hy
670	0.5013593816755351	1.3671090602874756	ba + he + hy
675	0.5013593816755351	1.3801541328430176	ba + he + hy
680	0.5013593816755351	1.5206987857818604	ba + he + hy
685	0.5013593816755351	1.3610458374023438	ba + he + hy
690	0.5013593816755351	1.3661692142486572	ba + he + hy
695	0.5013593816755351	1.3909564018249512	ba + he + hy
