actual	baseline	metrics	method	inflation	expansion
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	2
0.6280766852195424	0.3717996289424861	purity	mcl	1.2	2
0.3965798045602606	0.08469055374592833	purity_90	mcl	1.2	2
0.15980210265924552	0.04799010513296228	consistency	mcl	1.2	2
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	3
0.6008658008658009	0.36623376623376624	purity	mcl	1.2	3
0.40399002493765584	0.06899418121363259	purity_90	mcl	1.2	3
0.16103896103896104	0.052195423623995055	consistency	mcl	1.2	3
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	4
0.5871366728509586	0.3746444032158318	purity	mcl	1.2	4
0.4056761268781302	0.07512520868113523	purity_90	mcl	1.2	4
0.15955473098330242	0.06604823747680891	consistency	mcl	1.2	4
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	5
0.5871366728509586	0.37043908472479903	purity	mcl	1.2	5
0.4056761268781302	0.07679465776293823	purity_90	mcl	1.2	5
0.15955473098330242	0.06765615337043908	consistency	mcl	1.2	5
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	6
0.5871366728509586	0.371552257266543	purity	mcl	1.2	6
0.4056761268781302	0.07429048414023372	purity_90	mcl	1.2	6
0.15955473098330242	0.05862708719851577	consistency	mcl	1.2	6
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	7
0.5871366728509586	0.3717996289424861	purity	mcl	1.2	7
0.4056761268781302	0.08430717863105175	purity_90	mcl	1.2	7
0.15943104514533085	0.06691403834260977	consistency	mcl	1.2	7
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	8
0.5871366728509586	0.37192331478045765	purity	mcl	1.2	8
0.40601503759398494	0.08270676691729323	purity_90	mcl	1.2	8
0.18874458874458874	0.07396413110698825	consistency	mcl	1.2	8
0.24922941435490972	0.24922941435490972	retention	mcl	1.2	9
0.5871366728509586	0.3699443413729128	purity	mcl	1.2	9
0.40635451505016723	0.08193979933110368	purity_90	mcl	1.2	9
0.19220779220779222	0.07371675943104515	consistency	mcl	1.2	9
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	2
0.6520717377860235	0.3737786023500309	purity	mcl	1.3	2
0.38131699846860645	0.06125574272588055	purity_90	mcl	1.3	2
0.14285714285714285	0.041187384044526903	consistency	mcl	1.3	2
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	3
0.6024737167594311	0.37006802721088433	purity	mcl	1.3	3
0.400990099009901	0.07838283828382839	purity_90	mcl	1.3	3
0.16054421768707483	0.05046382189239332	consistency	mcl	1.3	3
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	4
0.5934446505875077	0.37551020408163266	purity	mcl	1.3	4
0.40399002493765584	0.0739817123857024	purity_90	mcl	1.3	4
0.16042053184910327	0.059369202226345084	consistency	mcl	1.3	4
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	5
0.5871366728509586	0.3742733457019171	purity	mcl	1.3	5
0.405	0.08166666666666667	purity_90	mcl	1.3	5
0.16017316017316016	0.06926406926406926	consistency	mcl	1.3	5
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	6
0.5871366728509586	0.37105751391465674	purity	mcl	1.3	6
0.4056761268781302	0.08263772954924875	purity_90	mcl	1.3	6
0.15955473098330242	0.06629560915275201	consistency	mcl	1.3	6
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	7
0.5871366728509586	0.375139146567718	purity	mcl	1.3	7
0.4056761268781302	0.07679465776293823	purity_90	mcl	1.3	7
0.15955473098330242	0.06196660482374768	consistency	mcl	1.3	7
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	8
0.5871366728509586	0.3696969696969697	purity	mcl	1.3	8
0.4056761268781302	0.0667779632721202	purity_90	mcl	1.3	8
0.15955473098330242	0.06518243661100805	consistency	mcl	1.3	8
0.24922941435490972	0.24922941435490972	retention	mcl	1.3	9
0.5871366728509586	0.37056277056277054	purity	mcl	1.3	9
0.4056761268781302	0.08681135225375626	purity_90	mcl	1.3	9
0.15955473098330242	0.0653061224489796	consistency	mcl	1.3	9
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	2
0.6670377241805813	0.3805813234384663	purity	mcl	1.4	2
0.36993006993006994	0.06713286713286713	purity_90	mcl	1.4	2
0.13642547928262214	0.03784786641929499	consistency	mcl	1.4	2
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	3
0.6424242424242425	0.3730364873222016	purity	mcl	1.4	3
0.3913738019169329	0.0742811501597444	purity_90	mcl	1.4	3
0.15844155844155844	0.04650587507730365	consistency	mcl	1.4	3
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	4
0.6023500309214594	0.37291280148423006	purity	mcl	1.4	4
0.400990099009901	0.07755775577557755	purity_90	mcl	1.4	4
0.1606679035250464	0.05442176870748299	consistency	mcl	1.4	4
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	5
0.6004947433518862	0.37711811997526284	purity	mcl	1.4	5
0.4033195020746888	0.07966804979253111	purity_90	mcl	1.4	5
0.1611626468769326	0.05318491032776747	consistency	mcl	1.4	5
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	6
0.5944341372912801	0.36821273964131107	purity	mcl	1.4	6
0.4043261231281198	0.07653910149750416	purity_90	mcl	1.4	6
0.16128633271490414	0.05912183055040198	consistency	mcl	1.4	6
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	7
0.5871366728509586	0.37291280148423006	purity	mcl	1.4	7
0.4053377814845705	0.08673894912427023	purity_90	mcl	1.4	7
0.15930735930735931	0.06444032158317872	consistency	mcl	1.4	7
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	8
0.5871366728509586	0.36932591218305505	purity	mcl	1.4	8
0.4056761268781302	0.07929883138564274	purity_90	mcl	1.4	8
0.15955473098330242	0.06444032158317872	consistency	mcl	1.4	8
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	9
0.5871366728509586	0.37291280148423006	purity	mcl	1.4	9
0.4056761268781302	0.07262103505843072	purity_90	mcl	1.4	9
0.15955473098330242	0.061224489795918366	consistency	mcl	1.4	9
0.24930947520115287	0.24930947520115287	retention	mcl	1.5	2
0.6725182346396341	0.38818148102361233	purity	mcl	1.5	2
0.36310299869621904	0.06258148631029987	purity_90	mcl	1.5	2
0.1256026702929905	0.03585115589071579	consistency	mcl	1.5	2
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	3
0.6491032776747062	0.37575757575757573	purity	mcl	1.5	3
0.3827639751552795	0.07919254658385093	purity_90	mcl	1.5	3
0.14669140383426096	0.042053184910327765	consistency	mcl	1.5	3
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	4
0.6329004329004329	0.3741496598639456	purity	mcl	1.5	4
0.39531123686337916	0.06305578011317704	purity_90	mcl	1.5	4
0.15757575757575756	0.050216450216450215	consistency	mcl	1.5	4
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	5
0.6029684601113172	0.36821273964131107	purity	mcl	1.5	5
0.40065952184666115	0.07666941467436109	purity_90	mcl	1.5	5
0.16017316017316016	0.052319109461966606	consistency	mcl	1.5	5
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	6
0.6003710575139146	0.3687074829931973	purity	mcl	1.5	6
0.40265120132560067	0.07373653686826843	purity_90	mcl	1.5	6
0.1611626468769326	0.05145330859616574	consistency	mcl	1.5	6
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	7
0.6009894867037724	0.3722943722943723	purity	mcl	1.5	7
0.40365448504983387	0.0739202657807309	purity_90	mcl	1.5	7
0.16004947433518862	0.052937538651824365	consistency	mcl	1.5	7
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	8
0.5901051329622758	0.366852195423624	purity	mcl	1.5	8
0.40466278101582015	0.08492922564529559	purity_90	mcl	1.5	8
0.16017316017316016	0.06159554730983302	consistency	mcl	1.5	8
0.24922941435490972	0.24922941435490972	retention	mcl	1.5	9
0.5943104514533086	0.371552257266543	purity	mcl	1.5	9
0.40466278101582015	0.07160699417152373	purity_90	mcl	1.5	9
0.15868893011750154	0.05615337043908473	consistency	mcl	1.5	9
